id,value,context_factor_id,context_factor_value_id,thing_id,user_id,created_at,updated_at,id,title,description,type,image,indoorsLocation,display_title,active,id,title,display_title,active_in_training,active_in_prediction,id,title,display_title,description,context_factor_id,active_in_training,active_in_prediction
1473,0,1,1,8,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:52:14.051000","2019-10-13 21:52:14.052000",8,"vending machine with drinks",,BCN_I,vending-machine-with-drinks.jpg,1,"Vending Machine with Drinks",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1512,0,1,1,23,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:56:26.421000","2019-10-13 21:56:26.421000",23,"smart home control unit","Mounted screen somewhere in your home.",BCN_I,smart-home-control-unit.jpg,1,"Smart Home Control Unit",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1531,0,1,1,24,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:58:00.585000","2019-10-13 21:58:00.585000",24,"public computer","Typically located in hotels, airports, …",BCN_I,public-computer.jpg,1,"Public Computer or Internet Terminal",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1582,-1,1,1,13,ab7d821b40714e06a40493ad6444d869,"2019-10-14 06:59:16.901000","2019-10-14 06:59:16.901000",13,"photo booth",,BCN_I,photo-booth.jpg,1,"Photo Booth",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1697,-1,1,1,56,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-14 21:33:14.789000","2019-10-14 21:33:14.789000",56,"parking meter",,BCN_I,parking-meter.jgp,0,"Parking Meter",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1812,0,1,1,17,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-14 21:50:12.232000","2019-10-14 21:50:12.232000",17,"electric car charger",,BCN_I,electric-car-charger.jpg,0,"Charging Station for Electric Cars",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1838,0,1,1,10,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-14 21:51:47.281000","2019-10-14 21:51:47.281000",10,"vending machine with food",,BCN_I,vending-machine-with-food.jpg,1,"Vending Machine with Food",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1936,0,1,1,12,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-14 21:58:43.301000","2019-10-14 21:58:43.301000",12,printer,,BCN_I,printer.jpg,1,Printer,1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1990,1,1,1,14,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-14 22:03:23.740000","2019-10-14 22:03:23.740000",14,"coffee machine",,BCN_I,coffee-machine.jpg,1,"Coffee Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1995,0,1,1,66,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-14 22:03:44.619000","2019-10-14 22:03:44.620000",66,"sculptures in a museum",,BCN_I,art-sculpture.jpg,1,"Sculpture at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2070,-1,1,1,64,e09bad029ab347d0a0aa591f1e0d4728,"2019-10-15 16:21:50.308000","2019-10-15 16:21:50.308000",64,"multimedia device in a museum",,BCN_I,museum-multimedia.jpg,1,"Multimedia Device at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
2088,-1,1,1,59,e09bad029ab347d0a0aa591f1e0d4728,"2019-10-15 16:25:23.505000","2019-10-15 16:25:23.505000",59,"public wifi access point",,BCN_I,public-wifi.jpg,1,"Public WiFi Access Point",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
